Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
1,3/11/2022,13:13:51,32.2,T1 KTemp C,51.1,T2 KTemp C,22,T3 KTemp C,9999,T4 KTemp C
2,3/11/2022,13:13:53,32.2,T1 KTemp C,51.3,T2 KTemp C,22,T3 KTemp C,9999,T4 KTemp C
3,3/11/2022,13:13:55,32.4,T1 KTemp C,51.4,T2 KTemp C,22,T3 KTemp C,9999,T4 KTemp C
4,3/11/2022,13:13:57,32.7,T1 KTemp C,51.5,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
5,3/11/2022,13:13:59,32.9,T1 KTemp C,51.7,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
6,3/11/2022,13:14:01,33.2,T1 KTemp C,51.9,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
7,3/11/2022,13:14:03,33.3,T1 KTemp C,52,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
8,3/11/2022,13:14:05,33.5,T1 KTemp C,52.2,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
9,3/11/2022,13:14:07,33.7,T1 KTemp C,52.3,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
10,3/11/2022,13:14:09,33.9,T1 KTemp C,52.4,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
11,3/11/2022,13:14:11,34.1,T1 KTemp C,52.5,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
12,3/11/2022,13:14:13,34.3,T1 KTemp C,52.6,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
13,3/11/2022,13:14:15,34.5,T1 KTemp C,52.7,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
14,3/11/2022,13:14:17,34.6,T1 KTemp C,52.8,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
15,3/11/2022,13:14:19,34.8,T1 KTemp C,52.9,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
16,3/11/2022,13:14:21,35,T1 KTemp C,52.9,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
17,3/11/2022,13:14:23,35.2,T1 KTemp C,53.1,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
18,3/11/2022,13:14:25,35.3,T1 KTemp C,53.1,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
19,3/11/2022,13:14:27,35.5,T1 KTemp C,53.2,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
20,3/11/2022,13:14:29,35.7,T1 KTemp C,53.2,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
21,3/11/2022,13:14:31,35.8,T1 KTemp C,53.3,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
22,3/11/2022,13:14:33,36,T1 KTemp C,53.4,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
23,3/11/2022,13:14:35,36.1,T1 KTemp C,53.4,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
24,3/11/2022,13:14:37,36.2,T1 KTemp C,53.5,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
25,3/11/2022,13:14:39,36.4,T1 KTemp C,53.5,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
26,3/11/2022,13:14:41,36.5,T1 KTemp C,53.6,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
27,3/11/2022,13:14:43,36.7,T1 KTemp C,53.6,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
28,3/11/2022,13:14:45,36.8,T1 KTemp C,53.7,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
29,3/11/2022,13:14:47,36.9,T1 KTemp C,53.7,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
30,3/11/2022,13:14:49,37.1,T1 KTemp C,53.7,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
31,3/11/2022,13:14:51,37.2,T1 KTemp C,53.8,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
32,3/11/2022,13:14:53,37.3,T1 KTemp C,53.8,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
33,3/11/2022,13:14:55,37.5,T1 KTemp C,53.9,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
34,3/11/2022,13:14:57,37.6,T1 KTemp C,53.9,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
35,3/11/2022,13:14:59,37.7,T1 KTemp C,53.9,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
36,3/11/2022,13:15:01,37.9,T1 KTemp C,54,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
37,3/11/2022,13:15:03,37.9,T1 KTemp C,54,T2 KTemp C,21.7,T3 KTemp C,9999,T4 KTemp C
38,3/11/2022,13:15:05,38.1,T1 KTemp C,54,T2 KTemp C,21.7,T3 KTemp C,9999,T4 KTemp C
39,3/11/2022,13:15:07,38.2,T1 KTemp C,54,T2 KTemp C,21.7,T3 KTemp C,9999,T4 KTemp C
40,3/11/2022,13:15:09,38.3,T1 KTemp C,54.1,T2 KTemp C,21.7,T3 KTemp C,9999,T4 KTemp C
41,3/11/2022,13:15:11,38.4,T1 KTemp C,54.1,T2 KTemp C,21.7,T3 KTemp C,9999,T4 KTemp C
42,3/11/2022,13:15:13,38.6,T1 KTemp C,54.1,T2 KTemp C,21.7,T3 KTemp C,9999,T4 KTemp C
43,3/11/2022,13:15:15,38.7,T1 KTemp C,54.2,T2 KTemp C,21.7,T3 KTemp C,9999,T4 KTemp C
44,3/11/2022,13:15:17,38.8,T1 KTemp C,54.2,T2 KTemp C,21.7,T3 KTemp C,9999,T4 KTemp C
45,3/11/2022,13:15:19,38.9,T1 KTemp C,54.2,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
46,3/11/2022,13:15:21,39,T1 KTemp C,54.2,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
47,3/11/2022,13:15:23,39.1,T1 KTemp C,54.2,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
48,3/11/2022,13:15:25,39.3,T1 KTemp C,54.2,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
49,3/11/2022,13:15:27,39.4,T1 KTemp C,54.2,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
50,3/11/2022,13:15:29,39.5,T1 KTemp C,54.3,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
51,3/11/2022,13:15:31,39.6,T1 KTemp C,54.3,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
52,3/11/2022,13:15:33,39.7,T1 KTemp C,54.4,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
53,3/11/2022,13:15:35,39.8,T1 KTemp C,54.4,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
54,3/11/2022,13:15:37,39.9,T1 KTemp C,54.4,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
55,3/11/2022,13:15:39,40,T1 KTemp C,54.4,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
56,3/11/2022,13:15:41,40.1,T1 KTemp C,54.5,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
57,3/11/2022,13:15:43,40.2,T1 KTemp C,54.5,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
58,3/11/2022,13:15:45,40.3,T1 KTemp C,54.6,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
59,3/11/2022,13:15:47,40.4,T1 KTemp C,54.6,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
60,3/11/2022,13:15:49,40.5,T1 KTemp C,54.6,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
61,3/11/2022,13:15:51,40.6,T1 KTemp C,54.7,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
62,3/11/2022,13:15:53,40.7,T1 KTemp C,54.7,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
63,3/11/2022,13:15:55,40.8,T1 KTemp C,54.7,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
64,3/11/2022,13:15:57,40.9,T1 KTemp C,54.8,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
65,3/11/2022,13:15:59,41,T1 KTemp C,54.8,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
66,3/11/2022,13:16:01,41.1,T1 KTemp C,54.8,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
67,3/11/2022,13:16:03,41.1,T1 KTemp C,54.8,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
68,3/11/2022,13:16:05,41.2,T1 KTemp C,54.9,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
69,3/11/2022,13:16:07,41.3,T1 KTemp C,54.9,T2 KTemp C,22,T3 KTemp C,9999,T4 KTemp C
70,3/11/2022,13:16:09,41.4,T1 KTemp C,55,T2 KTemp C,22,T3 KTemp C,9999,T4 KTemp C
71,3/11/2022,13:16:11,41.6,T1 KTemp C,55,T2 KTemp C,22.1,T3 KTemp C,9999,T4 KTemp C
72,3/11/2022,13:16:13,41.7,T1 KTemp C,55.1,T2 KTemp C,22.1,T3 KTemp C,9999,T4 KTemp C
73,3/11/2022,13:16:15,41.8,T1 KTemp C,55.1,T2 KTemp C,22.1,T3 KTemp C,9999,T4 KTemp C
74,3/11/2022,13:16:17,41.8,T1 KTemp C,55.1,T2 KTemp C,22.2,T3 KTemp C,9999,T4 KTemp C
75,3/11/2022,13:16:19,41.9,T1 KTemp C,55.1,T2 KTemp C,22.2,T3 KTemp C,9999,T4 KTemp C
76,3/11/2022,13:16:21,42,T1 KTemp C,55.1,T2 KTemp C,22.2,T3 KTemp C,9999,T4 KTemp C
77,3/11/2022,13:16:23,42.1,T1 KTemp C,55.1,T2 KTemp C,22.2,T3 KTemp C,9999,T4 KTemp C
78,3/11/2022,13:16:25,42.2,T1 KTemp C,55.1,T2 KTemp C,22.2,T3 KTemp C,9999,T4 KTemp C
79,3/11/2022,13:16:27,42.3,T1 KTemp C,55.1,T2 KTemp C,22.3,T3 KTemp C,9999,T4 KTemp C
80,3/11/2022,13:16:29,42.3,T1 KTemp C,55.2,T2 KTemp C,22.3,T3 KTemp C,9999,T4 KTemp C
81,3/11/2022,13:16:31,42.4,T1 KTemp C,55.2,T2 KTemp C,22.4,T3 KTemp C,9999,T4 KTemp C
82,3/11/2022,13:16:33,42.5,T1 KTemp C,55.2,T2 KTemp C,22.4,T3 KTemp C,9999,T4 KTemp C
83,3/11/2022,13:16:35,42.5,T1 KTemp C,55.2,T2 KTemp C,22.4,T3 KTemp C,9999,T4 KTemp C
84,3/11/2022,13:16:37,42.6,T1 KTemp C,55.2,T2 KTemp C,22.4,T3 KTemp C,9999,T4 KTemp C
85,3/11/2022,13:16:39,42.6,T1 KTemp C,55.2,T2 KTemp C,22.4,T3 KTemp C,9999,T4 KTemp C
86,3/11/2022,13:16:41,42.7,T1 KTemp C,55.3,T2 KTemp C,22.4,T3 KTemp C,9999,T4 KTemp C
87,3/11/2022,13:16:43,42.8,T1 KTemp C,55.2,T2 KTemp C,22.5,T3 KTemp C,9999,T4 KTemp C
88,3/11/2022,13:16:45,42.8,T1 KTemp C,55.2,T2 KTemp C,22.5,T3 KTemp C,9999,T4 KTemp C
89,3/11/2022,13:16:47,42.9,T1 KTemp C,55.3,T2 KTemp C,22.5,T3 KTemp C,9999,T4 KTemp C
90,3/11/2022,13:16:49,43,T1 KTemp C,55.3,T2 KTemp C,22.5,T3 KTemp C,9999,T4 KTemp C
91,3/11/2022,13:16:51,43,T1 KTemp C,55.3,T2 KTemp C,22.5,T3 KTemp C,9999,T4 KTemp C
92,3/11/2022,13:16:53,43.1,T1 KTemp C,55.3,T2 KTemp C,22.5,T3 KTemp C,9999,T4 KTemp C
93,3/11/2022,13:16:55,43.2,T1 KTemp C,55.2,T2 KTemp C,22.5,T3 KTemp C,9999,T4 KTemp C
94,3/11/2022,13:16:57,43.2,T1 KTemp C,55.3,T2 KTemp C,22.5,T3 KTemp C,9999,T4 KTemp C
95,3/11/2022,13:16:59,43.3,T1 KTemp C,55.2,T2 KTemp C,22.5,T3 KTemp C,9999,T4 KTemp C
96,3/11/2022,13:17:01,43.4,T1 KTemp C,55.3,T2 KTemp C,22.6,T3 KTemp C,9999,T4 KTemp C
97,3/11/2022,13:17:03,43.4,T1 KTemp C,55.3,T2 KTemp C,22.7,T3 KTemp C,9999,T4 KTemp C
98,3/11/2022,13:17:05,43.5,T1 KTemp C,55.3,T2 KTemp C,22.8,T3 KTemp C,9999,T4 KTemp C
99,3/11/2022,13:17:07,43.5,T1 KTemp C,55.4,T2 KTemp C,22.8,T3 KTemp C,9999,T4 KTemp C
100,3/11/2022,13:17:09,43.6,T1 KTemp C,55.3,T2 KTemp C,22.8,T3 KTemp C,9999,T4 KTemp C
101,3/11/2022,13:17:11,43.7,T1 KTemp C,55.3,T2 KTemp C,22.8,T3 KTemp C,9999,T4 KTemp C
102,3/11/2022,13:17:13,43.7,T1 KTemp C,55.3,T2 KTemp C,22.8,T3 KTemp C,9999,T4 KTemp C
103,3/11/2022,13:17:15,43.8,T1 KTemp C,55.3,T2 KTemp C,22.8,T3 KTemp C,9999,T4 KTemp C
104,3/11/2022,13:17:17,43.8,T1 KTemp C,55.3,T2 KTemp C,22.9,T3 KTemp C,9999,T4 KTemp C
105,3/11/2022,13:17:19,43.8,T1 KTemp C,55.3,T2 KTemp C,22.9,T3 KTemp C,9999,T4 KTemp C
106,3/11/2022,13:17:21,43.9,T1 KTemp C,55.4,T2 KTemp C,22.9,T3 KTemp C,9999,T4 KTemp C
107,3/11/2022,13:17:23,43.9,T1 KTemp C,55.3,T2 KTemp C,22.9,T3 KTemp C,9999,T4 KTemp C
108,3/11/2022,13:17:25,44,T1 KTemp C,55.4,T2 KTemp C,23,T3 KTemp C,9999,T4 KTemp C
109,3/11/2022,13:17:27,44,T1 KTemp C,55.4,T2 KTemp C,23,T3 KTemp C,9999,T4 KTemp C
110,3/11/2022,13:17:29,44.1,T1 KTemp C,55.4,T2 KTemp C,23,T3 KTemp C,9999,T4 KTemp C
111,3/11/2022,13:17:31,44.1,T1 KTemp C,55.4,T2 KTemp C,23,T3 KTemp C,9999,T4 KTemp C
112,3/11/2022,13:17:33,44.1,T1 KTemp C,55.4,T2 KTemp C,23.1,T3 KTemp C,9999,T4 KTemp C
113,3/11/2022,13:17:35,44.2,T1 KTemp C,55.4,T2 KTemp C,23.1,T3 KTemp C,9999,T4 KTemp C
114,3/11/2022,13:17:37,44.2,T1 KTemp C,55.4,T2 KTemp C,23.1,T3 KTemp C,9999,T4 KTemp C
115,3/11/2022,13:17:39,44.2,T1 KTemp C,55.4,T2 KTemp C,23.1,T3 KTemp C,9999,T4 KTemp C
116,3/11/2022,13:17:41,44.3,T1 KTemp C,55.4,T2 KTemp C,23.2,T3 KTemp C,9999,T4 KTemp C
117,3/11/2022,13:17:43,44.3,T1 KTemp C,55.4,T2 KTemp C,23.2,T3 KTemp C,9999,T4 KTemp C
118,3/11/2022,13:17:45,44.3,T1 KTemp C,55.4,T2 KTemp C,23.2,T3 KTemp C,9999,T4 KTemp C
119,3/11/2022,13:17:47,44.4,T1 KTemp C,55.5,T2 KTemp C,23.2,T3 KTemp C,9999,T4 KTemp C
120,3/11/2022,13:17:49,44.4,T1 KTemp C,55.5,T2 KTemp C,23.2,T3 KTemp C,9999,T4 KTemp C
121,3/11/2022,13:17:51,44.5,T1 KTemp C,55.5,T2 KTemp C,23.2,T3 KTemp C,9999,T4 KTemp C
122,3/11/2022,13:17:53,44.5,T1 KTemp C,55.5,T2 KTemp C,23.2,T3 KTemp C,9999,T4 KTemp C
123,3/11/2022,13:17:55,44.5,T1 KTemp C,55.5,T2 KTemp C,23.2,T3 KTemp C,9999,T4 KTemp C
124,3/11/2022,13:17:57,44.6,T1 KTemp C,55.5,T2 KTemp C,23.3,T3 KTemp C,9999,T4 KTemp C
125,3/11/2022,13:17:59,44.7,T1 KTemp C,55.5,T2 KTemp C,23.3,T3 KTemp C,9999,T4 KTemp C
126,3/11/2022,13:18:01,44.7,T1 KTemp C,55.6,T2 KTemp C,23.4,T3 KTemp C,9999,T4 KTemp C
127,3/11/2022,13:18:03,44.7,T1 KTemp C,55.6,T2 KTemp C,23.4,T3 KTemp C,9999,T4 KTemp C
128,3/11/2022,13:18:05,44.8,T1 KTemp C,55.6,T2 KTemp C,23.4,T3 KTemp C,9999,T4 KTemp C
129,3/11/2022,13:18:07,44.8,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
130,3/11/2022,13:18:09,44.9,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
131,3/11/2022,13:18:11,44.9,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
132,3/11/2022,13:18:13,45,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
133,3/11/2022,13:18:15,45,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
134,3/11/2022,13:18:17,45,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
135,3/11/2022,13:18:19,45.1,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
136,3/11/2022,13:18:21,45.1,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
137,3/11/2022,13:18:23,45.1,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
138,3/11/2022,13:18:25,45.2,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
139,3/11/2022,13:18:27,45.2,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
140,3/11/2022,13:18:29,45.2,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
141,3/11/2022,13:18:31,45.3,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
142,3/11/2022,13:18:33,45.3,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
143,3/11/2022,13:18:35,45.3,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
144,3/11/2022,13:18:37,45.3,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
145,3/11/2022,13:18:39,45.3,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
146,3/11/2022,13:18:41,45.4,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
147,3/11/2022,13:18:43,45.4,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
148,3/11/2022,13:18:45,45.4,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
149,3/11/2022,13:18:47,45.4,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
150,3/11/2022,13:18:49,45.5,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
151,3/11/2022,13:18:51,45.5,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
152,3/11/2022,13:18:53,45.5,T1 KTemp C,55.6,T2 KTemp C,23.5,T3 KTemp C,9999,T4 KTemp C
153,3/11/2022,13:18:55,45.6,T1 KTemp C,55.6,T2 KTemp C,23.6,T3 KTemp C,9999,T4 KTemp C
154,3/11/2022,13:18:57,45.6,T1 KTemp C,55.7,T2 KTemp C,23.6,T3 KTemp C,9999,T4 KTemp C
155,3/11/2022,13:18:59,45.7,T1 KTemp C,55.7,T2 KTemp C,23.6,T3 KTemp C,9999,T4 KTemp C
156,3/11/2022,13:19:01,45.7,T1 KTemp C,55.7,T2 KTemp C,23.6,T3 KTemp C,9999,T4 KTemp C
157,3/11/2022,13:19:03,45.8,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
158,3/11/2022,13:19:05,45.8,T1 KTemp C,55.8,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
159,3/11/2022,13:19:07,45.8,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
160,3/11/2022,13:19:09,45.9,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
161,3/11/2022,13:19:11,45.9,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
162,3/11/2022,13:19:13,45.9,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
163,3/11/2022,13:19:15,45.9,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
164,3/11/2022,13:19:17,45.9,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
165,3/11/2022,13:19:19,45.9,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
166,3/11/2022,13:19:21,45.9,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
167,3/11/2022,13:19:23,46,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
168,3/11/2022,13:19:25,46,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
169,3/11/2022,13:19:27,46,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
170,3/11/2022,13:19:29,46,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
171,3/11/2022,13:19:31,46.1,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
172,3/11/2022,13:19:33,46.1,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
173,3/11/2022,13:19:35,46.1,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
174,3/11/2022,13:19:37,46.2,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
175,3/11/2022,13:19:39,46.2,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
176,3/11/2022,13:19:41,46.2,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
177,3/11/2022,13:19:43,46.2,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
178,3/11/2022,13:19:45,46.2,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
179,3/11/2022,13:19:47,46.2,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
180,3/11/2022,13:19:49,46.3,T1 KTemp C,55.7,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
181,3/11/2022,13:19:51,46.3,T1 KTemp C,55.8,T2 KTemp C,23.7,T3 KTemp C,9999,T4 KTemp C
182,3/11/2022,13:19:53,46.4,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
183,3/11/2022,13:19:55,46.4,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
184,3/11/2022,13:19:57,46.4,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
185,3/11/2022,13:19:59,46.4,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
186,3/11/2022,13:20:01,46.4,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
187,3/11/2022,13:20:03,46.4,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
188,3/11/2022,13:20:05,46.4,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
189,3/11/2022,13:20:07,46.4,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
190,3/11/2022,13:20:09,46.4,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
191,3/11/2022,13:20:11,46.4,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
192,3/11/2022,13:20:13,46.5,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
193,3/11/2022,13:20:15,46.5,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
194,3/11/2022,13:20:17,46.5,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
195,3/11/2022,13:20:19,46.5,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
196,3/11/2022,13:20:21,46.5,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
197,3/11/2022,13:20:23,46.5,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
198,3/11/2022,13:20:25,46.5,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
199,3/11/2022,13:20:27,46.5,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
200,3/11/2022,13:20:29,46.5,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
201,3/11/2022,13:20:31,46.6,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
202,3/11/2022,13:20:33,46.6,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
203,3/11/2022,13:20:35,46.6,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
204,3/11/2022,13:20:37,46.6,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
205,3/11/2022,13:20:39,46.6,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
206,3/11/2022,13:20:41,46.6,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
207,3/11/2022,13:20:43,46.7,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
208,3/11/2022,13:20:45,46.7,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
209,3/11/2022,13:20:47,46.7,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
210,3/11/2022,13:20:49,46.7,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
211,3/11/2022,13:20:51,46.7,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
212,3/11/2022,13:20:53,46.7,T1 KTemp C,55.8,T2 KTemp C,23.8,T3 KTemp C,9999,T4 KTemp C
